,Num_of_Passengers,forecast
1949-01-01,112,
1949-02-01,118,
1949-03-01,132,
1949-04-01,129,
1949-05-01,121,
1949-06-01,135,
1949-07-01,148,
1949-08-01,148,
1949-09-01,136,
1949-10-01,119,
1949-11-01,104,
1949-12-01,118,
1950-01-01,115,
1950-02-01,126,
1950-03-01,141,
1950-04-01,135,
1950-05-01,125,
1950-06-01,149,
1950-07-01,170,
1950-08-01,170,
1950-09-01,158,
1950-10-01,133,
1950-11-01,114,
1950-12-01,140,
1951-01-01,145,
1951-02-01,150,
1951-03-01,178,
1951-04-01,163,
1951-05-01,172,
1951-06-01,178,
1951-07-01,199,
1951-08-01,199,
1951-09-01,184,
1951-10-01,162,
1951-11-01,146,
1951-12-01,166,
1952-01-01,171,
1952-02-01,180,
1952-03-01,193,
1952-04-01,181,
1952-05-01,183,
1952-06-01,218,
1952-07-01,230,
1952-08-01,242,
1952-09-01,209,
1952-10-01,191,
1952-11-01,172,
1952-12-01,194,
1953-01-01,196,
1953-02-01,196,
1953-03-01,236,
1953-04-01,235,
1953-05-01,229,
1953-06-01,243,
1953-07-01,264,
1953-08-01,272,
1953-09-01,237,
1953-10-01,211,
1953-11-01,180,
1953-12-01,201,
1954-01-01,204,
1954-02-01,188,
1954-03-01,235,
1954-04-01,227,
1954-05-01,234,
1954-06-01,264,
1954-07-01,302,
1954-08-01,293,
1954-09-01,259,
1954-10-01,229,
1954-11-01,203,
1954-12-01,229,
1955-01-01,242,
1955-02-01,233,
1955-03-01,267,
1955-04-01,269,
1955-05-01,270,
1955-06-01,315,
1955-07-01,364,
1955-08-01,347,
1955-09-01,312,
1955-10-01,274,
1955-11-01,237,
1955-12-01,278,
1956-01-01,284,
1956-02-01,277,
1956-03-01,317,
1956-04-01,313,
1956-05-01,318,
1956-06-01,374,
1956-07-01,413,
1956-08-01,405,
1956-09-01,355,
1956-10-01,306,
1956-11-01,271,
1956-12-01,306,
1957-01-01,315,
1957-02-01,301,
1957-03-01,356,
1957-04-01,348,
1957-05-01,355,
1957-06-01,422,
1957-07-01,465,
1957-08-01,467,
1957-09-01,404,
1957-10-01,347,
1957-11-01,305,
1957-12-01,336,
1958-01-01,340,
1958-02-01,318,
1958-03-01,362,
1958-04-01,348,
1958-05-01,363,
1958-06-01,435,
1958-07-01,491,
1958-08-01,505,
1958-09-01,404,
1958-10-01,359,
1958-11-01,310,
1958-12-01,337,
1959-01-01,360,
1959-02-01,342,
1959-03-01,406,
1959-04-01,396,
1959-05-01,420,
1959-06-01,472,
1959-07-01,548,
1959-08-01,559,
1959-09-01,463,
1959-10-01,407,
1959-11-01,362,
1959-12-01,405,
1960-01-01,417,
1960-02-01,391,
1960-03-01,419,
1960-04-01,461,
1960-05-01,472,
1960-06-01,535,
1960-07-01,622,
1960-08-01,606,
1960-09-01,508,544.895725997669
1960-10-01,461,488.48066226532603
1960-11-01,390,445.5648176791321
1960-12-01,432,490.1994900374507
1961-01-01,,502.33165937321695
1961-02-01,,483.6813780216888
1961-03-01,,548.7834246644206
1961-04-01,,541.0486189375542
1961-05-01,,554.2869304270745
1961-06-01,,623.2031784109614
1961-07-01,,678.1655630700828
1961-08-01,,664.1292282613902
1961-09-01,,602.2998569590613
1961-10-01,,543.5600987506348
1961-11-01,,498.93309576433876
1961-12-01,,545.5116767176422
1962-01-01,,558.5422488062381
1962-02-01,,538.4483586255323
1962-03-01,,606.6797599698131
1962-04-01,,598.8040787024858
1962-05-01,,613.4261369786277
1962-06-01,,685.6434614293175
1962-07-01,,743.1014997931374
1962-08-01,,728.316677205546
1962-09-01,,663.5796662362419
1962-10-01,,602.4985322668336
1962-11-01,,556.188096301866
1962-12-01,,604.6720056110595
1963-01-01,,618.6052659354366
1963-02-01,,597.0587047679594
1963-03-01,,668.4436400582168
1963-04-01,,660.4159991398988
1963-05-01,,676.4206115419289
1963-06-01,,751.9026408203069
1963-07-01,,811.8576616945774
1963-08-01,,796.3207970025849
1963-09-01,,728.7098742459534
1963-10-01,,665.313933761754
1963-11-01,,617.3277062141834
1963-12-01,,667.7156241626853
1964-01-01,,682.5453182418269
1964-02-01,,659.5630902617459
1964-03-01,,734.0708969958745
1964-04-01,,725.8983267548007
1964-05-01,,743.2770052994972
1964-06-01,,822.0106753205292
1964-07-01,,884.4443453648402
1964-08-01,,868.16505436701
1964-09-01,,797.6957210394859
1964-10-01,,731.9981100452067
1964-11-01,,682.3498075445498
1964-12-01,,734.6290387558169
1965-01-01,,750.3521839363688
1965-02-01,,725.9431892676315
1965-03-01,,803.5602136646503
1965-04-01,,795.2441516073368
1965-05-01,,813.9907067998164
1965-06-01,,895.9559373271712
1965-07-01,,960.8560810259906
1965-08-01,,943.8398765738725
1965-09-01,,870.5330775331048
1965-10-01,,802.5509301176264
1965-11-01,,751.2523010738439
1965-12-01,,805.4137298269236
